"entity_id";"type";"store";"attribute_set";"msrp";"name";"price";"sku";"url_path";"weight";"brand";"brand_value";"qty";"is_in_stock"
"146";"simple";"default";"default";"29.9900";"Coby AM/FM/NOAA Radio w/Dual Alarms, Auto turn on to weather advisories";"19.0000";"CX789";"cx789.html";"1.8100";"14";"Coby";"1000.0000";"1"
"147";"simple";"default";"default";"24.9900";"Coby Personal CD Player w/60 Sec. Anti Skip & Stereo Headphones";"16.0000";"CXCD329SVR";"cxcd329svr.html";"1.0000";"14";"Coby";"1000.0000";"1"
"148";"simple";"default";"default";"19.9900";"Coby Voice-Activated Cassette Recorder w/Adjustable Sensativity";"15.0000";"CXR60";"cxr60.html";"0.5200";"14";"Coby";"1000.0000";"1"
"149";"simple";"default";"default";"29.9900";"Cygnett Rechargeable micro speakers for MP3";"20.0000";"CY-3-MP";"cy3mp.html";"1.0000";"13";"Cygnett";"1000.0000";"1"
"150";"simple";"default";"default";"";"DPI iLive App Enhanced Speaker w/Rotating Dock for iPhone/iPod";"33.0000";"ISP191B";"isp191b.html";"1.4300";"12";"DPI";"1000.0000";"1"
"151";"simple";"default";"default";"";"DPI iLive Portable Speaker for iPhone/iPod, Dual alarm, Remote, audio out";"44.0000";"ISP209B";"isp209b.html";"1.4300";"12";"DPI";"1000.0000";"1"
"152";"simple";"default";"default";"14.9500";"Panasonic AM/FM Pocket Radio";"12.0000";"RF-P50";"rfp50.html";"1.0000";"8";"Panasonic";"1000.0000";"1"
"153";"simple";"default";"default";"39.9900";"Coby Portable CD/Radio/Stereo Cassette Player/Recorder with Remote Control";"33.0000";"CXCD250";"cxcd250.html";"2.6000";"14";"Coby";"1000.0000";"1"
"156";"simple";"default";"default";"";"DPI GPX Portable CD Boombox, AM/FM Radio, LCD Display, Remote Control";"28.0000";"BCD2306DP";"bcd2306dp.html";"5.0000";"12";"DPI";"1000.0000";"1"
"157";"simple";"default";"default";"";"DPI iLive CD Boom Box w/Dock for iPod,AM/FM,Charges iPod,Digital Clock";"36.0000";"IBP181B";"ibp181b.html";"6.4500";"12";"DPI";"1000.0000";"1"
"158";"simple";"default";"default";"";"DPI iLive App Enhanced Boombox for iPhone/iPod, Charges, FM Radio, Clock";"50.0000";"IBP301B";"ibp301b.html";"6.4500";"12";"DPI";"1000.0000";"1"
