"store";"websites";"attribute_set";"type";"categories";"sku";"has_options";"name"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"NGD-200";"0";"Nostalgia Electrics NGD-200 Non-stick Griddle with Warming Drawer"
"admin";"base";"Default";"simple";"Appliances";"OFP-501";"0";"Nostalgia Electrics OFP-501 Vintage Collection Hot Air Popcorn Maker"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"OFP-501";"0";"Nostalgia Electrics OFP-501 Vintage Collection Hot Air Popcorn Maker"
"admin";"base";"Default";"simple";"Appliances";"PCM-805";"0";"Nostalgia Electrics PCM-805 Hard & Sugar-Free Candy Cotton Candy Maker"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"PCM-805";"0";"Nostalgia Electrics PCM-805 Hard & Sugar-Free Candy Cotton Candy Maker"
"admin";"base";"Default";"simple";"Appliances";"PCM-805RETRORED ";"0";"Nostalgia Electrics PCM-805RETRORED Retro Series Hard & Sugar-Free Candy Cotton Candy Maker"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"PCM-805RETRORED ";"0";"Nostalgia Electrics PCM-805RETRORED Retro Series Hard & Sugar-Free Candy Cotton Candy Maker"
"admin";"base";"Default";"simple";"Appliances";"PIE-200 ";"0";"Nostalgia Electrics PIE-200 2-Pie Electric Pie Bakery"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"PIE-200 ";"0";"Nostalgia Electrics PIE-200 2-Pie Electric Pie Bakery"
"admin";"base";"Default";"simple";"Appliances";"PNB-900";"0";"Nostalgia Electrics PNB-900 Pigs in a Blanket and Appetizer Bites Maker"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"PNB-900";"0";"Nostalgia Electrics PNB-900 Pigs in a Blanket and Appetizer Bites Maker"
"admin";"base";"Default";"simple";"Appliances";"PPB-600";"0";"Nostalgia Electrics PPB-600 4-Quart Reusable Plastic Popcorn Buckets, 6-Pack"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"PPB-600";"0";"Nostalgia Electrics PPB-600 4-Quart Reusable Plastic Popcorn Buckets, 6-Pack"
"admin";"base";"Default";"simple";"Appliances";"RHD-800";"0";"Nostalgia Electrics RHD-800 Retro Series Hot Dog Roller"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"RHD-800";"0";"Nostalgia Electrics RHD-800 Retro Series Hot Dog Roller"
"admin";"base";"Default";"simple";"Appliances";"RHP-310";"0";"Nostalgia Electrics RHP-310 Retro Series Mini Hot Air Popcorn Popper"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"RHP-310";"0";"Nostalgia Electrics RHP-310 Retro Series Mini Hot Air Popcorn Popper"
"admin";"base";"Default";"simple";"Appliances";"RHP-625";"0";"Nostalgia Electrics RHP-625 Retro Series Hot Air Popcorn Popper"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"RHP-625";"0";"Nostalgia Electrics RHP-625 Retro Series Hot Air Popcorn Popper"
"admin";"base";"Default";"simple";"Appliances";"RKP-630";"0";"Nostalgia Electrics RKP-630 Retro Series Kettle Popcorn Maker"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"RKP-630";"0";"Nostalgia Electrics RKP-630 Retro Series Kettle Popcorn Maker"
"admin";"base";"Default";"simple";"Appliances";"RMO-400BLK";"0";"Nostalgia Electrics RMO-400BLK Retro Series 0.9-Cubic Foot Microwave Oven, Black"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"RMO-400BLK";"0";"Nostalgia Electrics RMO-400BLK Retro Series 0.9-Cubic Foot Microwave Oven, Black"
"admin";"base";"Default";"simple";"Appliances";"RMO-400RED";"0";"Nostalgia Electrics RMO-400RED Retro Series 0.9-Cubic Foot Microwave Oven, Red"
"admin";"base";"Default";"simple";"Appliances/Kitchen Electrics";"RMO-400RED";"0";"Nostalgia Electrics RMO-400RED Retro Series 0.9-Cubic Foot Microwave Oven, Red"
"admin";"base";"Default";"simple";"Appliances";"RRF-325CR";"0";"Nostalgia Electrics RRF-325CR Retro Series 3.1-Cubic Foot Compact Refrigerator Freezer, Red"
